Brand,Model,Category,Brand_Equity_Score,Category_Rank
WHOOP,4.0,Fitness Band,62.77975,1
WHOOP,4.0,Fitness Band,62.359750000000005,2
WHOOP,4.0,Fitness Band,62.18775,3
WHOOP,4.0,Fitness Band,62.175,4
WHOOP,4.0,Fitness Band,62.01075,5
WHOOP,4.0,Fitness Band,61.831500000000005,6
WHOOP,4.0,Fitness Band,61.813,7
WHOOP,4.0,Fitness Band,61.772000000000006,8
WHOOP,4.0,Fitness Band,61.66625,9
WHOOP,4.0,Fitness Band,61.5535,10
WHOOP,4.0,Fitness Band,61.52525,11
WHOOP,4.0,Fitness Band,61.444500000000005,12
WHOOP,4.0,Fitness Band,61.433000000000007,13
WHOOP,4.0,Fitness Band,61.39525,14
WHOOP,4.0,Fitness Band,61.315250000000006,15
WHOOP,4.0,Fitness Band,61.273750000000007,16
WHOOP,4.0,Fitness Band,61.2685,17
WHOOP,4.0,Fitness Band,61.2205,18
WHOOP,4.0,Fitness Band,61.1325,19
WHOOP,4.0,Fitness Band,61.09,20
WHOOP,4.0,Fitness Band,61.07475,21
WHOOP,4.0,Fitness Band,61.043500000000009,22
WHOOP,4.0,Fitness Band,60.993750000000006,23
WHOOP,4.0,Fitness Band,60.972,24
WHOOP,4.0,Fitness Band,60.903250000000007,25
WHOOP,4.0,Fitness Band,60.850750000000005,26
WHOOP,4.0,Fitness Band,60.82925,27
WHOOP,4.0,Fitness Band,60.66275,28
WHOOP,4.0,Fitness Band,60.548,29
WHOOP,4.0,Fitness Band,60.50375,30
WHOOP,4.0,Fitness Band,60.47975000000001,31
WHOOP,4.0,Fitness Band,60.462499999999991,32
WHOOP,4.0,Fitness Band,60.443749999999994,33
WHOOP,4.0,Fitness Band,60.357250000000008,34
WHOOP,4.0,Fitness Band,60.315999999999995,35
WHOOP,4.0,Fitness Band,60.314,36
WHOOP,4.0,Fitness Band,60.311000000000007,37
WHOOP,4.0,Fitness Band,60.2795,38
WHOOP,4.0,Fitness Band,60.2695,39
WHOOP,4.0,Fitness Band,60.232249999999993,40
WHOOP,4.0,Fitness Band,60.205000000000005,41
WHOOP,4.0,Fitness Band,60.160750000000007,42
WHOOP,4.0,Fitness Band,60.160250000000005,43
WHOOP,4.0,Fitness Band,60.1345,44
WHOOP,4.0,Fitness Band,60.12925,45
WHOOP,4.0,Fitness Band,60.07025,46
WHOOP,4.0,Fitness Band,60.054,47
WHOOP,4.0,Fitness Band,59.993500000000012,48
WHOOP,4.0,Fitness Band,59.980000000000004,49
WHOOP,4.0,Fitness Band,59.925,50
WHOOP,4.0,Fitness Band,59.8855,51
WHOOP,4.0,Fitness Band,59.8815,52
WHOOP,4.0,Fitness Band,59.84375,53
WHOOP,4.0,Fitness Band,59.8365,54
WHOOP,4.0,Fitness Band,59.7555,55
WHOOP,4.0,Fitness Band,59.747249999999994,56
WHOOP,4.0,Fitness Band,59.685999999999993,57
WHOOP,4.0,Fitness Band,59.66725,58
WHOOP,4.0,Fitness Band,59.6665,59
WHOOP,4.0,Fitness Band,59.5605,60
WHOOP,4.0,Fitness Band,59.533750000000005,61
WHOOP,4.0,Fitness Band,59.488,62
WHOOP,4.0,Fitness Band,59.4845,63
WHOOP,4.0,Fitness Band,59.475500000000004,64
WHOOP,4.0,Fitness Band,59.475,65
WHOOP,4.0,Fitness Band,59.46325,66
WHOOP,4.0,Fitness Band,59.460750000000004,67
WHOOP,4.0,Fitness Band,59.4335,68
WHOOP,4.0,Fitness Band,59.43275,69
WHOOP,4.0,Fitness Band,59.410249999999991,70
WHOOP,4.0,Fitness Band,59.381249999999994,71
WHOOP,4.0,Fitness Band,59.325500000000005,72
WHOOP,4.0,Fitness Band,59.21925,73
WHOOP,4.0,Fitness Band,59.2,74
WHOOP,4.0,Fitness Band,59.164,75
WHOOP,4.0,Fitness Band,59.15424999999999,76
WHOOP,4.0,Fitness Band,59.141000000000005,77
WHOOP,4.0,Fitness Band,59.1345,78
WHOOP,4.0,Fitness Band,59.125499999999995,79
WHOOP,4.0,Fitness Band,59.107,80
WHOOP,4.0,Fitness Band,59.053,81
WHOOP,4.0,Fitness Band,59.045500000000004,82
WHOOP,4.0,Fitness Band,59.02425,83
WHOOP,4.0,Fitness Band,59.017749999999992,84
WHOOP,4.0,Fitness Band,59.001500000000007,85
WHOOP,4.0,Fitness Band,58.998000000000005,86
WHOOP,4.0,Fitness Band,58.941999999999993,87
WHOOP,4.0,Fitness Band,58.94125,88
WHOOP,4.0,Fitness Band,58.81075,89
WHOOP,4.0,Fitness Band,58.805000000000007,90
WHOOP,4.0,Fitness Band,58.803749999999994,91
WHOOP,4.0,Fitness Band,58.77575,92
WHOOP,4.0,Fitness Band,58.77025,93
WHOOP,4.0,Fitness Band,58.734,94
WHOOP,4.0,Fitness Band,58.701000000000008,95
WHOOP,4.0,Fitness Band,58.673750000000005,96
WHOOP,4.0,Fitness Band,58.673500000000004,97
WHOOP,4.0,Fitness Band,58.671499999999995,98
WHOOP,4.0,Fitness Band,58.6625,99
WHOOP,4.0,Fitness Band,58.65075,100
WHOOP,4.0,Fitness Band,58.63175,101
WHOOP,4.0,Fitness Band,58.599500000000006,102
WHOOP,4.0,Fitness Band,58.5965,103
WHOOP,4.0,Fitness Band,58.561749999999996,104
WHOOP,4.0,Fitness Band,58.557750000000006,105
WHOOP,4.0,Fitness Band,58.47775,106
WHOOP,4.0,Fitness Band,58.43825,107
WHOOP,4.0,Fitness Band,58.3985,108
WHOOP,4.0,Fitness Band,58.380250000000004,109
WHOOP,4.0,Fitness Band,58.3735,110
WHOOP,4.0,Fitness Band,58.355000000000004,111
WHOOP,4.0,Fitness Band,58.3485,112
WHOOP,4.0,Fitness Band,58.339249999999993,113
WHOOP,4.0,Fitness Band,58.233000000000004,114
WHOOP,4.0,Fitness Band,58.17625,115
WHOOP,4.0,Fitness Band,58.15925,116
WHOOP,4.0,Fitness Band,58.155750000000005,117
WHOOP,4.0,Fitness Band,58.122249999999994,118
WHOOP,4.0,Fitness Band,58.1105,119
WHOOP,4.0,Fitness Band,58.10875,120
WHOOP,4.0,Fitness Band,58.000250000000008,121
WHOOP,4.0,Fitness Band,57.9795,122
WHOOP,4.0,Fitness Band,57.97925,123
WHOOP,4.0,Fitness Band,57.96525,124
WHOOP,4.0,Fitness Band,57.93925,125
WHOOP,4.0,Fitness Band,57.90375,126
WHOOP,4.0,Fitness Band,57.808,127
WHOOP,4.0,Fitness Band,57.8055,128
WHOOP,4.0,Fitness Band,57.777,129
WHOOP,4.0,Fitness Band,57.764750000000006,130
WHOOP,4.0,Fitness Band,57.723749999999995,131
WHOOP,4.0,Fitness Band,57.706500000000005,132
WHOOP,4.0,Fitness Band,57.701249999999995,133
WHOOP,4.0,Fitness Band,57.68475,134
WHOOP,4.0,Fitness Band,57.6535,135
WHOOP,4.0,Fitness Band,57.61575,136
WHOOP,4.0,Fitness Band,57.585750000000004,137
WHOOP,4.0,Fitness Band,57.577,138
WHOOP,4.0,Fitness Band,57.537000000000006,139
WHOOP,4.0,Fitness Band,57.505250000000004,140
WHOOP,4.0,Fitness Band,57.49875,141
WHOOP,4.0,Fitness Band,57.49,142
WHOOP,4.0,Fitness Band,57.441500000000005,143
WHOOP,4.0,Fitness Band,57.3815,144
WHOOP,4.0,Fitness Band,57.36475,145
WHOOP,4.0,Fitness Band,57.347750000000005,146
WHOOP,4.0,Fitness Band,57.30325,147
WHOOP,4.0,Fitness Band,57.3025,148
WHOOP,4.0,Fitness Band,57.30175,149
WHOOP,4.0,Fitness Band,57.292500000000004,150
WHOOP,4.0,Fitness Band,57.282250000000005,151
WHOOP,4.0,Fitness Band,57.254500000000007,152
WHOOP,4.0,Fitness Band,57.207750000000004,153
WHOOP,4.0,Fitness Band,57.20125,154
WHOOP,4.0,Fitness Band,57.15,155
WHOOP,4.0,Fitness Band,57.148,156
WHOOP,4.0,Fitness Band,57.12075,157
WHOOP,4.0,Fitness Band,57.11875,158
WHOOP,4.0,Fitness Band,57.113,159
WHOOP,4.0,Fitness Band,57.071,160
WHOOP,4.0,Fitness Band,57.06575,161
WHOOP,4.0,Fitness Band,57.00825,162
WHOOP,4.0,Fitness Band,56.979249999999993,163
WHOOP,4.0,Fitness Band,56.97175,164
WHOOP,4.0,Fitness Band,56.941,165
WHOOP,4.0,Fitness Band,56.902,166
WHOOP,4.0,Fitness Band,56.89775,167
WHOOP,4.0,Fitness Band,56.84675,168
WHOOP,4.0,Fitness Band,56.807,169
WHOOP,4.0,Fitness Band,56.71875,170
WHOOP,4.0,Fitness Band,56.688250000000004,171
WHOOP,4.0,Fitness Band,56.664,172
WHOOP,4.0,Fitness Band,56.63825,173
WHOOP,4.0,Fitness Band,56.635999999999996,174
WHOOP,4.0,Fitness Band,56.628,175
WHOOP,4.0,Fitness Band,56.623500000000007,176
WHOOP,4.0,Fitness Band,56.62025,177
WHOOP,4.0,Fitness Band,56.577250000000006,178
WHOOP,4.0,Fitness Band,56.495250000000013,179
WHOOP,4.0,Fitness Band,56.466,180
WHOOP,4.0,Fitness Band,56.439750000000004,181
WHOOP,4.0,Fitness Band,56.40075,182
WHOOP,4.0,Fitness Band,56.373,183
WHOOP,4.0,Fitness Band,56.372749999999996,184
